"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 11 21:31:56 MSK 2024","Thu Jul 11 21:32:00 MSK 2024","4133","","API тесты на работу с корзиной","","","","Очистка всей корзины",""
"passed","Thu Jul 11 21:31:50 MSK 2024","Thu Jul 11 21:31:56 MSK 2024","5236","","API тесты на работу с корзиной","","","","Добавление 3 книг в корзину",""
"passed","Thu Jul 11 21:35:10 MSK 2024","Thu Jul 11 21:36:18 MSK 2024","68005","","UI тесты на работу с корзиной","","","","Добавление одной книги в корзину и изменение количества экземляров","Добавление 1 книги в корзину с последующим изменением количества ее экземпляров и удалением из корзины"
"passed","Thu Jul 11 21:36:18 MSK 2024","Thu Jul 11 21:37:25 MSK 2024","67484","","UI тесты на работу с корзиной","","","","Добавление 3 книг в корзину","Добавление книг из списка и подсчет общей стоимости покупки"
"passed","Thu Jul 11 21:31:45 MSK 2024","Thu Jul 11 21:31:48 MSK 2024","2841","","API тесты на работу с корзиной","","","","Увеличение количества единиц одной книги в корзине",""
"passed","Thu Jul 11 21:33:02 MSK 2024","Thu Jul 11 21:34:06 MSK 2024","63876","","UI тесты на работу с корзиной","","","","Добавление 1 книги в корзину","Добавление 1 книги в корзину"
"passed","Thu Jul 11 21:31:48 MSK 2024","Thu Jul 11 21:31:50 MSK 2024","2488","","API тесты на работу с корзиной","","","","Удаление одной книги из корзины",""
"passed","Thu Jul 11 21:34:06 MSK 2024","Thu Jul 11 21:35:10 MSK 2024","64334","","UI тесты на работу с корзиной","","","","Удаление товара из корзины","Добавление в корзину 1 книги и последующее ее удаление из корзины"
"passed","Thu Jul 11 21:31:43 MSK 2024","Thu Jul 11 21:31:45 MSK 2024","2066","","API тесты на работу с корзиной","","","","Добавление одной книги в корзину",""
"passed","Thu Jul 11 21:32:00 MSK 2024","Thu Jul 11 21:33:02 MSK 2024","61808","","UI тесты на работу с поиском","","","","Поиск товара через поисковую стороку","Поиск товара по артикулу через строку поиска"
